Year,Value,Area,TaxRevenue,Population,TaxRevenuePerCapita,Assault,Burglary,Larceny,MurderHomocide,MotorVehicleTheft,PropertyCrime,Robbery,Rape,ViolentCrime
2018,,Reno,217467015.4,469764,462.9282264,456.92,425.22,1557.42,2.38,416.1,2398.74,120.08,68.95,648.33
2017,,Reno,200108868.1,461336,433.7594901,455.07,541.98,1967.56,7.64,576.19,3085.73,153.7,57.14,673.56
2016,,Reno,187192444.4,454134,412.1964979,480.88,493.96,2200.33,3.68,549.57,3243.86,160.7,56.84,702.09
2015,,Reno,172711552.3,446606,386.7201792,385.03,600.7,2114.96,6.26,425.91,3141.57,143.92,56.73,591.94
2014,,Reno,157329938.6,440296,357.3276581,315.25,558.17,2004.21,6.38,329.71,2892.09,111.89,54.46,487.97
2013,,Reno,147016396.8,435018,337.954744,329.81,606.72,2107.4,6.02,373.24,3087.36,496.21,,131.15
2012,,Reno,139153075.1,431291,322.6431228,357.94,708.5,2129.85,3.04,382.24,3220.59,517.17,,141.87
2011,,Reno,134708557,427906,314.8087594,301.16,712.4,1898.12,6.16,273.42,2883.94,487.85,,168.63
2018,,NV,6877012704,3057582,2249.167056,330.45,584.73,1461.18,6.66,392.3,2438.22,127.27,76.75,541.13
2017,,NV,6352030790,2986656,2126.803619,324.99,674.5,1529.37,8.95,431.03,2634.9,162.86,63.79,560.59
2016,,NV,5945290113,2953375,2013.049516,395.64,640.16,1495.24,7.76,447.63,2583.04,215.63,58.82,677.86
2015,,NV,5362400464,2897584,1850.645387,414.91,775.38,1505.88,6.17,393.62,2674.88,218.01,58.53,697.63
2014,,NV,4978188375,2843301,1750.848178,372.13,772.44,1496.19,5.99,358.81,2627.44,209.77,47.81,635.7
2013,,NV,4930095950,2800967,1760.140676,360.38,825.62,1652.59,5.84,358.16,2836.37,185.67,,604.98
2012,,NV,4712561511,2750217,1713.523519,391.74,803.09,1647.28,4.5,363.72,2814.09,178.55,,608.6
2011,,NV,4474208984,2721794,1643.845561,371.03,747.86,1476.31,5.11,352.09,2576.26,158.38,,568.08
2018,,US,3973974000000,326949000,12154.72138,246.79,376,1594.61,4.96,228.89,2199.5,86.21,42.6,380.56
2017,,US,3760542000000,325220000,11563.07115,249.22,429.67,1695.54,5.32,237.72,2362.93,98.6,41.72,394.86
2016,,US,3561451000000,323186000,11019.81831,248.29,468.89,1745.43,5.38,237.25,2451.57,102.9,40.94,397.52
2015,,US,3331685000000,320918000,10381.73303,238.1,494.73,1783.59,4.95,222.21,2500.53,102.25,39.31,373.74
2014,,US,3033618000000,318631000,9520.787368,229.25,537.19,1821.55,4.44,215.36,2574.1,101.25,37.01,361.55
2013,,US,2712045000000,316357000,8572.735865,229.63,610.48,1901.9,4.52,221.26,2733.64,109.04,,369.13
2012,,US,2450164000000,314212000,7797.805303,242.78,672.22,1965.4,4.73,230.41,2868.03,113.12,,387.75
2011,,US,2303466000000,312010000,7382.667222,241.48,701.29,1974.11,4.71,229.95,2905.36,113.86,,387.06
